pagenation	region	hpatitisc-incidence	heptitisc-ir	heptitisc-death	heptitisc-dr	heptitisb-incidence	heptitisb-death	heptitisb-ir	heptitisb-dr	hepatitise-incidence	hepatitise-death	hepatitise-ir	hepatitise-dr	hepatitisa-incidence	hepatitisa-death	hepatitisa-ir	hepatitisa-dr	hepatitis-incidence	hepatitis-death	hepatitis-ir	hepatitis-dr	hepatitisun-incidence	hepatitisun-death	hepatitisun-ir	hepatitisun-dr
2006-07	重庆市	50	0.1787	0		2709	6	9.6819	0.0214	9	0	0.0322		237	0	0.847		3125	7	11.1687	0.025	120	1	0.4289	0.0036
2006-01	安徽省	63	0.1029	0		2522	1	4.1209	0.0016	60	1	0.098	0.0016	149	0	0.2435		3024	3	4.9412	0.0049	230	1	0.3758	0.0016
2010-08	广东省	1333	1.3831	3	0.0031	11027	19	11.4412	0.0197	185	0	0.1919		104	0	0.1079		12948	22	13.4343	0.0228	299	0	0.3102	
2010-08	内蒙古	474	1.957	0		2123	2	8.7652	0.0083	4	0	0.0165		21	0	0.0867		2642	2	10.908	0.0083	20	0	0.0826	
2005-07	陕西省	210	0.5668	1	0.0027	3224	2	8.7014	0.0054	6	0	0.0162		190	2	0.5128	0.0054	3777	5	10.1939	0.0135	147	0	0.3967	
2015-05	内蒙古	626	2.4992	1	0.004	1832	0	7.3139		24	0	0.0958		11	0	0.0439		2500	1	9.9808	0.004	7	0	0.0279	
2005-07	江苏省	137	0.1837	1	0.0013	1594	3	2.1372	0.004	148	1	0.1984	0.0013	180	0	0.2413		2578	5	3.4565	0.0067	519	0	0.6958	
2015-03	全    国	20526	1.5065	10	0.0007	90670	23	6.6548	0.0017	3032	1	0.2225	0.0001	2054	1	0.1508	0.0001	118723	35	8.7138	0.0026	2441	0	0.1792	
2010-04	广    西	803	1.6536	0		3331	6	6.8596	0.0124	93	0	0.1915		137	0	0.2821		4559	6	9.3884	0.0124	195	0	0.4016	
2011-06	建设兵团	81	3.1479	0		217	0	8.4332						6	0	0.2332		307	0	11.9309		3	0	0.1166	
2016-11	云南省	807	1.712	1	0.0021	1051	0	2.2296		133	0	0.2821		66	0	0.14		2062	1	4.3743	0.0021	5	0	0.0106	
2016-05	辽宁省	706	1.6078	0		1682	0	3.8306		117	1	0.2665	0.0023	346	0	0.788		2994	1	6.8185	0.0023	141	0	0.3211	
2014-03	宁    夏	66	1.0089	0		509	0	7.7806		1	0	0.0153		12	0	0.1834		590	0	9.0188		2	0	0.0306	
2006-11	浙江省	100	0.2042	0		3265	3	6.666	0.0061	111	0	0.2266		230	0	0.4696		4183	3	8.5402	0.0061	477	0	0.9739	
2015-08	青海省	160	2.7424	0		610	1	10.4556	0.0171	6	0	0.1028		23	0	0.3942		802	1	13.7465	0.0171	3	0	0.0514	
2010-03	福建省	206	0.568	0		4779	1	13.1762	0.0028	95	0	0.2619		72	0	0.1985		5658	1	15.5997	0.0028	506	0	1.3951	
2008-02	河北省	181	0.2607	1	0.0014	3822	0	5.5048		77	0	0.1109		99	0	0.1426		4284	1	6.1703	0.0014	105	0	0.1512	
2015-10	山西省	655	1.7955	0		3256	0	8.9255		43	0	0.1179		102	0	0.2796		4118	0	11.2885		62	0	0.17	
2014-04	湖南省	1151	1.7203	0		4983	1	7.4478	0.0015	126	0	0.1883		49	0	0.0732		6455	1	9.6479	0.0015	146	0	0.2182	
2012-08	建设兵团	82	3.1373	0		245	0	9.3736						5	0	0.1913		336	0	12.8552		4	0	0.153	
2004-12	江苏省	83	0.1097	0		1218	3	1.6093	0.004	110	0	0.1453		169	0	0.2233		2098	3	2.772	0.004	518	0	0.6844	
2010-05	安徽省	236	0.3849	0		2915	3	4.7545	0.0049	176	0	0.2871		96	0	0.1566		3667	3	5.9811	0.0049	244	0	0.398	
2014-03	内蒙古	715	2.8627	0		2399	0	9.6052		22	0	0.0881		21	0	0.0841		3165	0	12.6721		8	0	0.032	
