time	地 区	发病数	死亡数	发病率	死亡率
Aug-07	甘肃省	18	0	0.0691	
May-12	河南省	5	0	0.0053	
Apr-08	湖北省	9	0	0.0158	
Sep-09	河南省	1	0	0.0011	
Nov-07	浙江省	4	0	0.008	
Aug-04	新疆	29	1	0.1559	0.0054
Apr-05	新疆	22	0	0.1107	
Apr-15	黑龙江省	3	0	0.0078	
Jul-14	湖北省	11	0	0.019	
Apr-09	陕西省	2	0	0.0053	
May-14	四川省	13	0	0.016	
Jul-05	安徽省	42	0	0.0691	
Feb-04	黑龙江省	1	0	0.0027	
Aug-07	全国	343	0	0.0261	
Jul-09	湖北省	2	0	0.0035	
Sep-04	全国	230	0	0.0177	
Jan-05	甘肃省	10	0	0.0388	
May-11	新疆	71	0	0.3255	
Oct-10	江苏省	1	0	0.0013	
Jan-13	贵州省	3	0	0.0086	
Feb-10	河南省	3	0	0.0032	
Sep-10	全国	114	1	0.0085	0.0001
Jan-04	河北省	10	0	0.0147	
Apr-12	天津市	6	0	0.0443	
Jan-14	湖北省	1	0	0.0017	
Jun-14	河北省	23	0	0.0314	
Nov-07	四川省	8	0	0.0098	
May-08	浙江省	17	0	0.0336	
Jun-06	安徽省	23	0	0.0376	
Mar-07	贵州省	11	0	0.0293	
Sep-10	湖南省	3	0	0.0047	
Dec-04	陕西省	16	0	0.0437	
Mar-09	安徽省	8	0	0.013	
Oct-11	湖南省	1	0	0.0015	
Jul-07	陕西省	9	0	0.0241	
Mar-13	重庆市	2	0	0.0068	
Jul-11	广东省	23	0	0.0221	
Mar-04	河北省	25	0	0.0368	
Sep-14	建设兵团	1	0	0.037	
Jul-08	河南省	12	0	0.0128	
Feb-15	甘肃省	4	0	0.0154	
Jul-13	重庆市	15	0	0.0509	
Nov-04	福建省	3	0	0.0083	
Jun-05	河南省	34	0	0.0364	
May-15	河北省	29	0	0.0393	
Oct-13	新疆	31	0	0.1388	
Oct-06	湖南省	4	0	0.0063	
Jul-07	内蒙古	1	0	0.0042	
Sep-11	湖北省	2	0	0.0035	
Oct-09	全国	72	0	0.0054	
Jan-10	建设兵团	1	0	0.0389	
Aug-08	湖北省	6	0	0.0105	
Feb-06	江西省	2	0	0.0046	
Dec-11	广西	1	0	0.0022	
Oct-10	黑龙江省	1	0	0.0026	
Feb-05	江西省	6	0	0.014	
May-08	建设兵团	2	0	0.0774	
May-08	湖南省	6	0	0.0094	
Dec-04	贵州省	2	0	0.0052	
Sep-14	山西省	6	0	0.0165	
Jan-08	福建省	2	0	0.0056	
Aug-14	重庆市	28	0	0.0943	
Oct-08	福建省	3	0	0.0084	
Mar-08	福建省	6	0	0.0168	
Mar-04	四川省	68	0	0.078	
Sep-08	云南省	1	0	0.0022	
May-08	甘肃省	14	0	0.0535	
Oct-11	黑龙江省	2	0	0.0052	
Feb-12	黑龙江省	2	0	0.0052	
Jun-14	江苏省	4	0	0.005	
May-04	江苏省	12	0	0.0159	
Oct-10	新疆	8	0	0.0371	
Mar-06	江苏省	2	0	0.0027	
Apr-09	广东省	2	0	0.0021	
Aug-09	山东省	16	0	0.017	
May-04	甘肃省	22	0	0.0842	
Oct-05	甘肃省	9	0	0.0349	
Aug-04	山西省	29	0	0.0875	
Sep-12	山东省	14	0	0.0145	
Apr-07	河北省	21	0	0.0304	
Nov-06	陕西省	2	0	0.0054	
Apr-10	甘肃省	8	0	0.0304	
Feb-11	黑龙江省	1	0	0.0026	
Oct-11	江西省	1	0	0.0022	
Jun-08	全国	264	0	0.02	
Mar-12	云南省	1	0	0.0022	
Mar-09	黑龙江省	2	0	0.0052	
Apr-05	上海市	1	0	0.0056	
Jan-15	湖南省	3	0	0.0045	
Aug-13	山西省	1	0	0.0028	
Nov-14	陕西省	11	0	0.0292	
May-10	河南省	6	0	0.0063	
Oct-08	天津市	1	0	0.009	
Jan-11	全国	98	0	0.0073	
May-14	贵州省	3	0	0.0086	
Jun-15	贵州省	7	0	0.02	
Apr-07	安徽省	26	0	0.0426	
Aug-07	江苏省	4	0	0.0053	
Dec-12	山东省	1	0	0.001	
Sep-07	江西省	1	0	0.0023	
Sep-05	山西省	2	0	0.006	
Nov-12	广东省	4	0	0.0038	
Feb-07	浙江省	2	0	0.004	
Nov-08	江苏省	1	0	0.0013	
Jun-14	北京市	11	0	0.052	
Dec-12	安徽省	3	0	0.005	
Dec-12	云南省	2	0	0.0043	
Jul-06	内蒙古	3	0	0.0126	
Mar-11	安徽省	12	0	0.0202	
Apr-14	福建省	1	0	0.0026	
Jun-04	陕西省	86	0	0.2351	
Dec-13	广东省	5	0	0.0047	
Jul-06	青海省	3	0	0.0552	
Mar-05	建设兵团	3	0	0.118	
Sep-11	江苏省	6	0	0.0076	
Sep-13	湖南省	1	0	0.0015	
Jul-06	浙江省	6	0	0.0122	
Dec-13	河北省	9	0	0.0123	
May-08	河南省	8	0	0.0085	
Jun-09	福建省	1	0	0.0028	
Apr-09	四川省	28	0	0.0342	
Oct-06	河北省	15	0	0.0219	
Mar-09	江苏省	2	0	0.0026	
Mar-13	广东省	9	0	0.0085	
Jun-09	山东省	14	0	0.0149	
Mar-14	北京市	4	0	0.0189	
Sep-14	天津市	46	0	0.3125	
Feb-12	重庆市	2	0	0.0069	
Jan-09	浙江省	2	0	0.0039	
May-04	湖南省	14	0	0.021	
Jul-11	贵州省	13	0	0.0374	
Sep-11	黑龙江省	3	0	0.0078	
Aug-11	广东省	10	0	0.0096	
Feb-07	江西省	1	0	0.0023	
Jun-14	贵州省	2	0	0.0057	
Jun-10	北京市	1	0	0.0057	
Jan-12	广东省	8	0	0.0076	
Jun-09	浙江省	11	0	0.0215	
May-05	新疆	21	0	0.1057	
Mar-15	建设兵团	2	0	0.0732	
Aug-04	河南省	23	0	0.0237	
Jul-08	山西省	8	0	0.0236	
Oct-11	青海省	1	0	0.0178	
Jun-10	宁夏	2	0	0.032	
Apr-15	江苏省	5	0	0.0063	
Feb-14	黑龙江省	3	0	0.0078	
Jun-07	山西省	6	0	0.0178	
Jan-07	广东省	4	0	0.0043	
Apr-06	广西	4	0	0.0086	
May-06	福建省	9	0	0.0255	
Jun-10	浙江省	5	0	0.0097	
Dec-12	全国	64	0	0.0048	
Mar-12	浙江省	11	0	0.0201	
Sep-11	浙江省	6	0	0.011	
Jan-06	黑龙江省	2	0	0.0052	
Nov-14	湖南省	1	0	0.0015	
Aug-13	四川省	14	0	0.0173	
Sep-14	北京市	12	0	0.0567	
Jan-10	安徽省	1	0	0.0016	
Mar-12	广东省	5	0	0.0048	
Dec-07	黑龙江省	3	0	0.0078	
Aug-07	陕西省	3	0	0.008	
Mar-11	江苏省	9	0	0.0114	
Oct-10	河北省	23	0	0.0327	
May-13	黑龙江省	3	0	0.0078	
Aug-04	安徽省	12	0	0.0186	
Jan-11	四川省	17	0	0.0211	
Mar-08	广西	5	0	0.0105	
Jul-15	浙江省	33	0	0.0599	
Mar-14	四川省	18	0	0.0222	
May-13	河北省	19	0	0.0261	
Nov-06	新疆	12	1	0.0597	0.005
Jan-15	重庆市	8	0	0.0267	
Sep-07	天津市	1	0	0.0093	
Mar-06	天津市	3	0	0.0288	
May-10	天津市	5	0	0.0407	
Dec-10	黑龙江省	2	0	0.0052	
Feb-11	安徽省	2	0	0.0034	
Oct-04	云南省	10	0	0.023	
Oct-14	湖北省	1	0	0.0017	
Feb-15	河北省	22	0	0.0298	
May-08	贵州省	11	0	0.0292	
Nov-10	贵州省	1	0	0.0026	
Apr-13	贵州省	2	0	0.0057	
Feb-07	云南省	4	0	0.0089	
Jul-08	江西省	5	0	0.0114	
Sep-04	甘肃省	11	0	0.0421	
Jul-06	宁夏	1	0	0.0168	
Dec-11	河南省	4	0	0.0043	
Nov-13	广东省	2	0	0.0019	
Nov-11	河北省	11	0	0.0153	
Jul-05	广东省	8	0	0.0088	
Mar-11	重庆市	5	0	0.0173	
Mar-13	全国	120	0	0.0089	
Nov-10	新疆	15	0	0.0695	
Dec-12	吉林省	1	0	0.0036	
Feb-08	北京市	1	0	0.0061	
Jul-06	河南省	33	0	0.0352	
Jun-07	山东省	40	0	0.043	
Mar-10	湖南省	3	0	0.0047	
Jul-15	新疆	197	0	0.8571	
Nov-14	广东省	26	0	0.0244	
Aug-13	全国	191	0	0.0141	
Sep-10	重庆市	1	0	0.0035	
Sep-14	福建省	2	0	0.0053	
Aug-09	山西省	3	0	0.0088	
Feb-10	甘肃省	9	0	0.0341	
Oct-07	宁夏	1	0	0.0166	
Jun-11	安徽省	7	0	0.0118	
Nov-09	河南省	1	0	0.0011	
Nov-05	河北省	15	0	0.022	
Jan-14	湖南省	3	0	0.0045	
Jan-04	贵州省	23	0	0.0602	
Apr-12	青海省	1	0	0.0176	
Mar-10	云南省	3	0	0.0066	
Dec-06	云南省	2	0	0.0045	
Jun-13	天津市	35	0	0.2477	
Apr-14	云南省	2	0	0.0043	
Aug-15	上海市	1	0	0.0041	
Mar-07	黑龙江省	2	0	0.0052	
Nov-05	湖北省	3	0	0.0053	
Mar-10	新疆	14	0	0.0649	
Oct-07	全国	128	0	0.0097	
Dec-15	山东省	40	0	0.0409	
Sep-15	黑龙江省	2	0	0.0052	
Apr-13	黑龙江省	1	0	0.0026	
Oct-15	河北省	26	0	0.0352	
Feb-05	云南省	6	0	0.0136	
Jul-05	北京市	2	0	0.013	
Jul-12	北京市	2	0	0.0099	
Mar-05	甘肃省	18	0	0.0698	
Jan-09	四川省	25	0	0.0306	
Apr-09	宁夏	2	0	0.033	
Nov-06	福建省	1	0	0.0028	
Sep-04	贵州省	7	0	0.0183	
Jan-04	青海省	1	0	0.0185	
Jun-06	江苏省	11	1	0.0147	0.0013
Nov-09	山西省	2	0	0.0059	
Jun-04	江西省	18	0	0.042	
Jul-10	江苏省	12	0	0.0155	
Sep-10	安徽省	1	0	0.0016	
Jul-09	山西省	5	0	0.0147	
Jul-11	天津市	4	0	0.0309	
Apr-14	甘肃省	1	0	0.0039	
May-08	安徽省	22	0	0.036	
Mar-11	山东省	30	0	0.0313	
Aug-06	宁夏	1	0	0.0168	
Jan-05	贵州省	7	0	0.0189	
Nov-07	山东省	2	0	0.0021	
Nov-06	吉林省	1	0	0.0037	
Feb-07	安徽省	7	0	0.0115	
Jun-12	四川省	28	0	0.0348	
Nov-13	安徽省	1	0	0.0017	
